  INFO root [2018-06-17 12:15:13,737] - 
  INFO root [2018-06-17 12:15:13,737] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-17 12:15:16,167] - Resmgr::initialize: KBE_ROOT=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/
  INFO root [2018-06-17 12:15:16,167] - Resmgr::initialize: KBE_RES_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/res/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/scripts/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/res/
  INFO root [2018-06-17 12:15:16,168] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/bin/server/
  INFO root [2018-06-17 12:15:16,324] - NetworkInterface::recreateListeningSocket(INTERNAL): bound to all interfaces with default route interface on 192.168.31.56 ( 192.168.31.56:38530 )
  INFO root [2018-06-17 12:15:16,444] - NetworkInterface::recreateListeningSocket(INTERNAL): address 192.168.31.56:38530, SOMAXCONN=5.
  INFO root [2018-06-17 12:15:16,444] - server-configs:
  INFO root [2018-06-17 12:15:16,444] - 	internalAddr : 192.168.31.56:38530
  INFO root [2018-06-17 12:15:16,445] - 	componentID : 5000
  INFO root [2018-06-17 12:15:18,384] - ---- baseappmgr Version: 1.0.0. ScriptVersion: 0.1.0. Protocol: BD45623450AB79CC04B6C6D196650737. Config: Debug X86. Built: 23:17:13 Jun 15 2018. AppID: 5000. UID: 7919. PID: 22716 ----
  INFO root [2018-06-17 12:15:18,385] - Server :        Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz with 4194303kB RAM
  INFO root [2018-06-17 12:15:18,659] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-17 12:15:18,744] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-06-17 12:15:19,660] - ---- baseappmgr is running ----
 DEBUG root [2018-06-17 12:15:19,935] - Components::process(): Request for the process of identity...
  INFO root [2018-06-17 12:15:27,784] - Components::findComponents: find logger(1)...
  WARN root [2018-06-17 12:15:28,831] - Components::findComponents: not found logger!
  INFO root [2018-06-17 12:15:29,844] - Components::findComponents: find dbmgr(1)...
  INFO root [2018-06-17 12:15:31,944] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-06-17 12:15:34,043] - Components::findComponents: find dbmgr(3)...
  INFO root [2018-06-17 12:15:36,164] - Components::findComponents: find dbmgr(4)...
  INFO root [2018-06-17 12:15:38,264] - Components::findComponents: find dbmgr(5)...
  INFO root [2018-06-17 12:15:40,364] - Components::findComponents: find dbmgr(6)...
  INFO root [2018-06-17 12:15:42,384] - Components::findComponents: find dbmgr(7)...
  INFO root [2018-06-17 12:15:44,404] - Components::findComponents: find dbmgr(8)...
  INFO root [2018-06-17 12:15:46,444] - Components::findComponents: find dbmgr(9)...
  INFO root [2018-06-17 12:15:48,544] - Components::findComponents: find dbmgr(10)...
  INFO root [2018-06-17 12:15:50,664] - Components::findComponents: find dbmgr(11)...
  INFO root [2018-06-17 12:15:52,784] - Components::findComponents: find dbmgr(12)...
  INFO root [2018-06-17 12:15:54,904] - Components::findComponents: find dbmgr(13)...
  INFO root [2018-06-17 12:15:57,004] - Components::findComponents: find dbmgr(14)...
  INFO root [2018-06-17 12:15:59,018] - Components::findComponents: find dbmgr(15)...
  INFO root [2018-06-17 12:16:01,044] - Components::findComponents: find dbmgr(16)...
  WARN root [2018-06-17 12:16:03,064] - Components::findComponents: find dbmgr(17)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:05,084] - Components::findComponents: find dbmgr(18)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:07,103] - Components::findComponents: find dbmgr(19)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:09,117] - Components::findComponents: find dbmgr(20)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:11,144] - Components::findComponents: find dbmgr(21)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:13,164] - Components::findComponents: find dbmgr(22)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:15,284] - Components::findComponents: find dbmgr(23)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:17,404] - Components::findComponents: find dbmgr(24)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:19,504] - Components::findComponents: find dbmgr(25)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:21,524] - Components::findComponents: find dbmgr(26)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:23,544] - Components::findComponents: find dbmgr(27)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:25,563] - Components::findComponents: find dbmgr(28)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:27,584] - Components::findComponents: find dbmgr(29)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:29,604] - Components::findComponents: find dbmgr(30)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:31,644] - Components::findComponents: find dbmgr(31)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:33,664] - Components::findComponents: find dbmgr(32)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:35,684] - Components::findComponents: find dbmgr(33)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:37,804] - Components::findComponents: find dbmgr(34)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:39,818] - Components::findComponents: find dbmgr(35)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:41,843] - Components::findComponents: find dbmgr(36)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:43,963] - Components::findComponents: find dbmgr(37)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:46,084] - Components::findComponents: find dbmgr(38)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:48,204] - Components::findComponents: find dbmgr(39)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:50,318] - Components::findComponents: find dbmgr(40)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:52,424] - Components::findComponents: find dbmgr(41)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:54,444] - Components::findComponents: find dbmgr(42)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:56,464] - Components::findComponents: find dbmgr(43)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:16:58,483] - Components::findComponents: find dbmgr(44)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:00,503] - Components::findComponents: find dbmgr(45)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:02,524] - Components::findComponents: find dbmgr(46)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:04,544] - Components::findComponents: find dbmgr(47)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:06,564] - Components::findComponents: find dbmgr(48)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:08,684] - Components::findComponents: find dbmgr(49)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:10,804] - Components::findComponents: find dbmgr(50)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:12,918] - Components::findComponents: find dbmgr(51)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:14,943] - Components::findComponents: find dbmgr(52)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:16,963] - Components::findComponents: find dbmgr(53)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:19,083] - Components::findComponents: find dbmgr(54)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:21,204] - Components::findComponents: find dbmgr(55)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:23,304] - Components::findComponents: find dbmgr(56)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:25,324] - Components::findComponents: find dbmgr(57)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:27,344] - Components::findComponents: find dbmgr(58)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:29,364] - Components::findComponents: find dbmgr(59)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:31,384] - Components::findComponents: find dbmgr(60)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:33,403] - Components::findComponents: find dbmgr(61)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:35,423] - Components::findComponents: find dbmgr(62)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:37,463] - Components::findComponents: find dbmgr(63)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:39,564] - Components::findComponents: find dbmgr(64)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:41,624] - Components::findComponents: find dbmgr(65)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:43,644] - Components::findComponents: find dbmgr(66)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:43,957] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20945, errorno=10048
  WARN root [2018-06-17 12:17:44,964] - Components::findComponents: find dbmgr(67)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:47,064] - Components::findComponents: find dbmgr(68)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:49,084] - Components::findComponents: find dbmgr(69)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:51,103] - Components::findComponents: find dbmgr(70)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:53,123] - Components::findComponents: find dbmgr(71)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:55,144] - Components::findComponents: find dbmgr(72)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:57,164] - Components::findComponents: find dbmgr(73)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:17:59,184] - Components::findComponents: find dbmgr(74)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:01,244] - Components::findComponents: find dbmgr(75)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:03,364] - Components::findComponents: find dbmgr(76)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:05,484] - Components::findComponents: find dbmgr(77)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:07,583] - Components::findComponents: find dbmgr(78)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:09,618] - Components::findComponents: find dbmgr(79)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:11,643] - Components::findComponents: find dbmgr(80)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:13,764] - Components::findComponents: find dbmgr(81)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:15,884] - Components::findComponents: find dbmgr(82)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-06-17 12:18:18,004] - Components::findComponents: find dbmgr(83)...
delay time is too long, please check the dbmgr logs!
  INFO root [2018-06-17 12:21:29,203] - 
  INFO root [2018-06-17 12:21:29,204] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-17 12:21:29,207] - Resmgr::initialize: KBE_ROOT=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/
  INFO root [2018-06-17 12:21:29,208] - Resmgr::initialize: KBE_RES_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/res/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/scripts/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/res/
  INFO root [2018-06-17 12:21:29,208] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/bin/server/
  INFO root [2018-06-17 12:21:29,275] - NetworkInterface::recreateListeningSocket(INTERNAL): bound to all interfaces with default route interface on 192.168.31.56 ( 192.168.31.56:38591 )
  INFO root [2018-06-17 12:21:29,276] - NetworkInterface::recreateListeningSocket(INTERNAL): address 192.168.31.56:38591, SOMAXCONN=5.
  INFO root [2018-06-17 12:21:29,276] - server-configs:
  INFO root [2018-06-17 12:21:29,277] - 	internalAddr : 192.168.31.56:38591
  INFO root [2018-06-17 12:21:29,277] - 	componentID : 5000
  INFO root [2018-06-17 12:21:30,789] - ---- baseappmgr Version: 1.0.0. ScriptVersion: 0.1.0. Protocol: BD45623450AB79CC04B6C6D196650737. Config: Debug X86. Built: 23:17:13 Jun 15 2018. AppID: 5000. UID: 9218. PID: 23296 ----
  INFO root [2018-06-17 12:21:30,790] - Server :        Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz with 4194303kB RAM
  INFO root [2018-06-17 12:21:30,790] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-17 12:21:30,791] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-06-17 12:21:31,748] - ---- baseappmgr is running ----
 DEBUG root [2018-06-17 12:21:31,749] - Components::process(): Request for the process of identity...
  INFO root [2018-06-17 12:21:39,351] - Components::findComponents: find logger(1)...
  INFO root [2018-06-17 12:21:39,448] - Components::findComponents: found logger, addr:192.168.31.56:38594
  INFO root [2018-06-17 12:21:39,448] - Components::addComponent: reset orderLog, uid=9218!
  INFO root [2018-06-17 12:21:39,448] - Components::addComponent[logger], uid=9218, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:21:39,452] - Components::findComponents: find dbmgr(2)...
  WARN root [2018-06-17 12:21:40,558] - Forwarding logs to logger[192.168.31.56:38594/0/0/0]...
 ERROR root [2018-06-17 12:22:49,560] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:22:49,565] - The following logs sent to logger failed:
  WARN root [2018-06-17 12:22:49,569] - ==> [2018-06-17 12:22:49 557] TCPPacketReceiver::processPendingEvents(192.168.31.56:38594): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-06-17 12:22:49,569] - ==> [2018-06-17 12:22:49 561] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:28:39,416] - 
  INFO root [2018-06-17 12:28:39,420] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-17 12:28:39,430] - Resmgr::initialize: KBE_ROOT=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/
  INFO root [2018-06-17 12:28:39,430] - Resmgr::initialize: KBE_RES_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/res/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/scripts/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/res/
  INFO root [2018-06-17 12:28:39,431] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/bin/server/
  INFO root [2018-06-17 12:28:39,477] - NetworkInterface::recreateListeningSocket(INTERNAL): bound to all interfaces with default route interface on 192.168.31.56 ( 192.168.31.56:38699 )
  INFO root [2018-06-17 12:28:39,477] - NetworkInterface::recreateListeningSocket(INTERNAL): address 192.168.31.56:38699, SOMAXCONN=5.
  INFO root [2018-06-17 12:28:39,478] - server-configs:
  INFO root [2018-06-17 12:28:39,478] - 	internalAddr : 192.168.31.56:38699
  INFO root [2018-06-17 12:28:39,478] - 	componentID : 5000
  INFO root [2018-06-17 12:28:40,992] - ---- baseappmgr Version: 1.0.0. ScriptVersion: 0.1.0. Protocol: BD45623450AB79CC04B6C6D196650737. Config: Debug X86. Built: 23:17:13 Jun 15 2018. AppID: 5000. UID: 10623. PID: 17148 ----
  INFO root [2018-06-17 12:28:40,993] - Server :        Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz with 4194303kB RAM
  INFO root [2018-06-17 12:28:40,994] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-17 12:28:40,994] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-06-17 12:28:41,655] - ---- baseappmgr is running ----
 DEBUG root [2018-06-17 12:28:41,656] - Components::process(): Request for the process of identity...
  INFO root [2018-06-17 12:28:48,875] - Components::findComponents: find logger(1)...
  INFO root [2018-06-17 12:28:48,953] - Components::findComponents: found logger, addr:192.168.31.56:38701
  INFO root [2018-06-17 12:28:48,954] - Components::addComponent: reset orderLog, uid=10623!
  INFO root [2018-06-17 12:28:48,954] - Components::addComponent[logger], uid=10623, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:28:48,956] - Components::findComponents: find dbmgr(2)...
  WARN root [2018-06-17 12:28:50,057] - Forwarding logs to logger[192.168.31.56:38701/0/0/0]...
 ERROR root [2018-06-17 12:28:54,481] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:28:54,486] - The following logs sent to logger failed:
  WARN root [2018-06-17 12:28:54,486] - ==> [2018-06-17 12:28:54 478] TCPPacketReceiver::processPendingEvents(192.168.31.56:38701): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-06-17 12:28:54,487] - ==> [2018-06-17 12:28:54 481] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:29:01,140] - 
  INFO root [2018-06-17 12:29:01,141] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-17 12:29:01,143] - Resmgr::initialize: KBE_ROOT=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/
  INFO root [2018-06-17 12:29:01,143] - Resmgr::initialize: KBE_RES_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/res/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/scripts/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/res/
  INFO root [2018-06-17 12:29:01,144] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/bin/server/
  INFO root [2018-06-17 12:29:01,156] - NetworkInterface::recreateListeningSocket(INTERNAL): bound to all interfaces with default route interface on 192.168.31.56 ( 192.168.31.56:38719 )
  INFO root [2018-06-17 12:29:01,157] - NetworkInterface::recreateListeningSocket(INTERNAL): address 192.168.31.56:38719, SOMAXCONN=5.
  INFO root [2018-06-17 12:29:01,157] - server-configs:
  INFO root [2018-06-17 12:29:01,157] - 	internalAddr : 192.168.31.56:38719
  INFO root [2018-06-17 12:29:01,157] - 	componentID : 5000
  INFO root [2018-06-17 12:29:02,666] - ---- baseappmgr Version: 1.0.0. ScriptVersion: 0.1.0. Protocol: BD45623450AB79CC04B6C6D196650737. Config: Debug X86. Built: 23:17:13 Jun 15 2018. AppID: 5000. UID: 10694. PID: 21220 ----
  INFO root [2018-06-17 12:29:02,666] - Server :        Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz with 4194303kB RAM
  INFO root [2018-06-17 12:29:02,667] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-17 12:29:02,667] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-06-17 12:29:03,742] - ---- baseappmgr is running ----
 DEBUG root [2018-06-17 12:29:03,743] - Components::process(): Request for the process of identity...
  WARN root [2018-06-17 12:29:07,365] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20448, errorno=10048
  INFO root [2018-06-17 12:29:11,427] - Components::findComponents: find logger(1)...
  INFO root [2018-06-17 12:29:11,531] - Components::findComponents: found logger, addr:192.168.31.56:38718
  INFO root [2018-06-17 12:29:11,531] - Components::addComponent: reset orderLog, uid=10694!
  INFO root [2018-06-17 12:29:11,531] - Components::addComponent[logger], uid=10694, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:29:11,533] - Components::findComponents: find dbmgr(2)...
  WARN root [2018-06-17 12:29:12,635] - Forwarding logs to logger[192.168.31.56:38718/0/0/0]...
 ERROR root [2018-06-17 12:30:12,830] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:30:12,834] - The following logs sent to logger failed:
  WARN root [2018-06-17 12:30:12,835] - ==> [2018-06-17 12:30:12 826] TCPPacketReceiver::processPendingEvents(192.168.31.56:38718): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-06-17 12:30:12,836] - ==> [2018-06-17 12:30:12 830] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-06-17 12:34:06,541] - 
  INFO root [2018-06-17 12:34:06,571] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-17 12:34:06,573] - Resmgr::initialize: KBE_ROOT=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/
  INFO root [2018-06-17 12:34:06,573] - Resmgr::initialize: KBE_RES_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/res/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/scripts/;C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/assets/res/
  INFO root [2018-06-17 12:34:06,574] - Resmgr::initialize: KBE_BIN_PATH=C:/Users/Public/Documents/workspace/kbe/kbengine-kbengine-v1.0.0/kbengine/kbe/bin/server/
  INFO root [2018-06-17 12:34:06,619] - NetworkInterface::recreateListeningSocket(INTERNAL): bound to all interfaces with default route interface on 192.168.31.56 ( 192.168.31.56:38773 )
  INFO root [2018-06-17 12:34:06,620] - NetworkInterface::recreateListeningSocket(INTERNAL): address 192.168.31.56:38773, SOMAXCONN=5.
  INFO root [2018-06-17 12:34:06,620] - server-configs:
  INFO root [2018-06-17 12:34:06,621] - 	internalAddr : 192.168.31.56:38773
  INFO root [2018-06-17 12:34:06,621] - 	componentID : 5000
  INFO root [2018-06-17 12:34:08,134] - ---- baseappmgr Version: 1.0.0. ScriptVersion: 0.1.0. Protocol: BD45623450AB79CC04B6C6D196650737. Config: Debug X86. Built: 23:17:13 Jun 15 2018. AppID: 5000. UID: 11690. PID: 12428 ----
  INFO root [2018-06-17 12:34:08,135] - Server :        Intel(R) Core(TM) i5-2415M CPU @ 2.30GHz with 4194303kB RAM
  INFO root [2018-06-17 12:34:08,136] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-17 12:34:08,136] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-06-17 12:34:09,100] - ---- baseappmgr is running ----
 DEBUG root [2018-06-17 12:34:09,101] - Components::process(): Request for the process of identity...
  INFO root [2018-06-17 12:34:16,457] - Components::findComponents: find logger(1)...
  INFO root [2018-06-17 12:34:16,562] - Components::findComponents: found logger, addr:192.168.31.56:38772
  INFO root [2018-06-17 12:34:16,562] - Components::addComponent: reset orderLog, uid=11690!
  INFO root [2018-06-17 12:34:16,562] - Components::addComponent[logger], uid=11690, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:34:16,564] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-06-17 12:34:16,667] - Components::findComponents: found dbmgr, addr:192.168.31.56:38776
  INFO root [2018-06-17 12:34:16,667] - Components::addComponent: reset orderLog, uid=11690!
  INFO root [2018-06-17 12:34:16,667] - Components::addComponent[dbmgr], uid=11690, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-06-17 12:34:16,668] - Components::findComponents: found dbmgr, addr:192.168.31.56:38776
